rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
1,"(100, 50, 25)",0.019306977288832496,tanh,0.9991906936837367,6.618139317193823e-05,0.9766060613701043,0.006421453558605816,0.9645763671323946,0.9784121199875958,0.9802509223927512,0.9833068111801763,0.9764840861576043,0.02258463231363239,0.006575275141746512,59.64947113990784,4.161555617630121
2,"(100, 50, 25)",0.001,tanh,0.9991453545926356,0.00015114290360579725,0.975895217038674,0.0067090457623169095,0.9637343963473177,0.9788166054035873,0.978338162932338,0.9837416231783105,0.9748452973318165,0.02325013755396166,0.006874760368920873,57.77386417388916,4.026491546381691
3,"(100, 50, 25)",0.0517947467923121,tanh,0.9992625604435565,6.09305506804987e-05,0.9751683942428275,0.004267824648778753,0.9687216386314865,0.9733810380250191,0.9796633437373531,0.9801299891197834,0.9739459617004959,0.024094166200729017,0.004376500175738898,77.41847257614135,6.9780372508871675
4,"(100, 50, 25)",0.0071968567300115215,tanh,0.999204741366321,0.00016585199395725925,0.975011001420812,0.004849655233324711,0.9704088978128007,0.9769627508889536,0.9805198182722271,0.9789750356883061,0.9681885044417724,0.024193739945508996,0.004973949243913827,57.29707961082458,3.942928869218177
5,"(100, 50, 25)",0.011787686347935873,tanh,0.9991902201002134,0.00023959398873202843,0.9747114323448388,0.007808935460844511,0.9661756009363334,0.9769998162427072,0.9807831411005257,0.9845440222722026,0.9650545811724254,0.024478787755374598,0.008011535724023213,60.39657454490661,8.497078917933475
6,"(64, 64, 32)",0.03162277660168379,tanh,0.9993655441048954,0.0001300881478460606,0.9746671094536172,0.004532587485764707,0.9696780061260458,0.9792107273057425,0.9809782569487536,0.972010460640187,0.9714580962473571,0.02469843465127819,0.00465039544455912,62.32828392982483,5.841751521639514
7,"(64, 64, 32)",0.0016378937069540646,tanh,0.9993197451808828,0.00011111287918647884,0.9745473728636072,0.0044900654090327796,0.9689707937644438,0.9813561545290597,0.9744854053676029,0.9773280486702722,0.970596461986657,0.024772372317275693,0.004607334167695906,52.11726312637329,3.2385251278558926
8,"(64, 64, 32)",0.0026826957952797246,tanh,0.999281517294547,7.198118835648992e-05,0.9741734364334327,0.005710882829203216,0.9755933093600029,0.9772897637091305,0.9818330133337814,0.9650501742880977,0.9711009214761512,0.025108080861114268,0.005862285518799868,51.79125828742981,3.1726564952088845
9,"(64, 64, 32)",0.019306977288832496,tanh,0.9992814746334391,8.175767156662597e-05,0.9736658221970471,0.005248017633758246,0.9694076040159341,0.9773144831464274,0.9822713943009678,0.9700137182632405,0.9693219112586657,0.025615652436391967,0.005389957739213086,54.49920687675476,4.06687591278189
10,"(100, 50, 25)",0.3727593720314938,tanh,0.9970859568827619,0.0003636941073606444,0.9734588805775879,0.004852305981197775,0.9657781689025705,0.9762735753985128,0.9743707871829882,0.9800272024290894,0.9708446689747783,0.023627076305174022,0.004984602922640892,99.28945116996765,10.63312382577228
