rank_test_score,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
1,11,0.05,700,0.8,0.8,5,0.0,0.5,10,0.996064145564161,8.480474593376708e-05,0.8991686863920731,0.012270922013264313,0.899415831801478,0.8903845306526621,0.8888746149633193,0.8945773997275801,0.9225910548153266,0.09689545917208786,0.0136469632439065,4.958425283432007,0.028752246057186567
2,11,0.03,700,0.8,0.8,5,0.0,0.5,5,0.99440076191158,0.00016473549991941722,0.8988217737216487,0.012317858787414234,0.8997627389567606,0.8906676176763222,0.8870869706872448,0.8946199944041238,0.9219715468837929,0.09557898818993127,0.013704450812769123,5.131505966186523,0.06647970881479584
3,11,0.05,500,0.8,0.8,5,0.0,0.5,10,0.993696483593055,0.00015566415617885768,0.8986551832489749,0.012516407094064914,0.899040612056673,0.8896846002885365,0.888145366902752,0.8938862944830779,0.922519042513835,0.09504130034408009,0.01392793067616148,3.7048271179199217,0.040233240101825926
4,11,0.03,700,0.8,0.8,5,0.0,0.5,10,0.9918718746942533,0.0001492470431904611,0.8984825705297347,0.012375382035080557,0.8995987969798458,0.8906818560604637,0.8873408564932934,0.8928934516702459,0.9218978914448241,0.09338930416451863,0.013773647303791523,5.15868239402771,0.06492024132585805
5,11,0.05,700,0.8,0.8,7,0.0,0.5,10,0.9953455257451902,8.27849266291903e-05,0.8983102974566852,0.012212452230609901,0.901587036414402,0.8886147545625096,0.8872882824730377,0.8934770454075169,0.9205843684259599,0.09703522828850497,0.013594915103596217,4.574553108215332,0.05538082090339445
6,11,0.05,700,0.8,0.8,7,0.0,0.5,5,0.9965072662194912,7.856746676527855e-05,0.898200498208495,0.012190158426436112,0.8989520545389278,0.8871941277381539,0.8883717226485799,0.8955337394853752,0.9209508466314384,0.09830676801099614,0.013571756473916438,4.501006555557251,0.047335020964167404
7,11,0.03,700,0.8,0.8,5,0.0,0.5,1,0.9962952096403075,9.133974569962908e-05,0.898196190493992,0.012373658982541181,0.9005992102918712,0.8888978975759223,0.8858547864271901,0.894853639866383,0.9207754183085937,0.09809901914631547,0.013776120533016164,5.125558662414551,0.056657871308524434
8,11,0.05,700,0.8,0.8,9,0.0,0.5,10,0.9945645523453355,0.0001191052702475831,0.8981857653701526,0.01222882759550054,0.9000117973167152,0.8878965182833173,0.8876464117918987,0.8945171723435031,0.9208569271153285,0.09637878697518287,0.013615031619278559,4.23902907371521,0.04433730335280277
9,11,0.05,400,0.8,0.8,5,0.0,0.5,10,0.991242503156181,0.0001839385334317139,0.8981583021861838,0.012735692664588067,0.8987241853894262,0.889140394491337,0.8873297300337014,0.8932003510086424,0.9223968500078112,0.09308420096999726,0.014179786161958809,2.999546766281128,0.0478073844591967
10,11,0.05,700,0.8,0.8,5,0.0,0.5,5,0.9970373730589595,4.555543080170955e-05,0.8979920890090323,0.012999245465937411,0.9005313768228291,0.8877919817224846,0.8865126825931753,0.8930801294675659,0.9220442744391064,0.09904528404992718,0.014475901987380049,4.842176103591919,0.05610620842022875
11,11,0.07,700,0.8,0.8,5,0.0,0.5,5,0.9978683526737552,5.2023775276824245e-05,0.8979366021843994,0.012669362316068708,0.8987617976606077,0.8900068068567831,0.8847510915611867,0.8946783159719764,0.9214849988714426,0.09993175048935576,0.014109417396782918,4.43866868019104,0.03790784224777553
12,11,0.03,700,0.8,0.8,7,0.0,0.5,10,0.9903264085546228,0.0001603615988558331,0.8978937938140579,0.011695428871727098,0.8993930505251058,0.8891770600405946,0.8876116398155748,0.8934746148949912,0.9198126037940234,0.09243261474056497,0.013025403396594885,4.694748210906982,0.09156402465492383
13,11,0.07,500,0.8,0.8,5,0.0,0.5,5,0.997034265958964,7.569761285293958e-05,0.8978286691095028,0.012751365298060388,0.8986145954437108,0.8896856644629174,0.8846587142000045,0.8946398044966276,0.9215445669442531,0.09920559684946129,0.014202448347642572,3.484145164489746,0.054856901757127624
