rank_test_score,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
1,11,0.07,700,0.8,0.8,7,0.0,0.5,10,0.9977892859097546,5.279235684081629e-05,0.8982032588156933,0.006529398185831115,0.8937151236704997,0.8954426862908288,0.9092968760386179,0.9015220385205386,0.8910395695579817,0.09958602709406128,0.007269399350031655,5.1752043724060055,0.036732260207594326
2,11,0.05,700,0.8,0.8,5,0.0,0.5,10,0.9970015952705872,8.67669786240083e-05,0.8981390641136219,0.008545197804560329,0.8889593111796464,0.8977739135314695,0.9128009150294475,0.900710862389765,0.8904503184377807,0.0988625311569653,0.009514337084306237,5.9175080299377445,0.023464325511257184
3,11,0.07,500,0.8,0.8,7,0.0,0.5,10,0.9964801635458936,9.735884698675224e-05,0.8980650118423317,0.006666244737016075,0.8934244298130019,0.895148467502939,0.9093514983150461,0.9015768558404534,0.8908238077402172,0.09841515170356196,0.007422897729130584,3.9945616245269777,0.034703217952275024
4,11,0.07,700,0.8,0.8,5,0.0,0.5,10,0.9980533568412582,5.175181170609051e-05,0.8980520631023561,0.008208996960868391,0.8886258755095604,0.8964467867849841,0.912591314092193,0.9000375629949129,0.8925587761301302,0.1000012937389021,0.009140892046403289,5.561939430236817,0.07708246430465755
5,11,0.07,400,0.8,0.8,7,0.0,0.5,10,0.9950328893212903,0.00013029991530989925,0.8979764426592942,0.006842485943986018,0.8930961780768446,0.8949250312512549,0.9096548967136051,0.9014679633872947,0.8907381438674717,0.09705644666199609,0.007619894708732532,3.2643532752990723,0.043926632152295884
6,11,0.07,500,0.8,0.8,5,0.0,0.5,10,0.9969787087487401,7.323150424898483e-05,0.8979564531318657,0.008255549615131105,0.888313757993128,0.8964061302930714,0.9125628701035287,0.8998699997382911,0.8926295075313093,0.09902225561687439,0.009193708209721803,5.646689319610596,0.1450685353304416
7,11,0.05,500,0.8,0.8,5,0.0,0.5,10,0.9949821156700629,0.00017418912793798063,0.8978254388797142,0.008684114035025,0.8885032204854646,0.8973896739643152,0.9128044274392205,0.9003127784374965,0.8901170940720734,0.09715667679034867,0.009672385810164653,5.520871019363403,0.04127903593552007
8,11,0.07,400,0.8,0.8,5,0.0,0.5,10,0.9957550097518558,0.00010827686970351974,0.8977529567267833,0.008252967834817656,0.8882401517373544,0.8961426638927557,0.9124456205934637,0.8995196252581794,0.8924167221521634,0.09800205302507248,0.009192916350738696,5.993321371078491,0.27946618068764073
9,11,0.05,700,0.8,0.8,7,0.0,0.5,10,0.9964847094889336,0.00010281880564654483,0.8976244946160119,0.008196587075457645,0.8879444498964542,0.8951310141774238,0.911948900418091,0.9003238220089299,0.8927742865791599,0.09886021487292174,0.009131420905535786,5.538733959197998,0.08916901478632772
10,11,0.07,700,0.8,0.8,7,0.0,0.5,5,0.9982057101279975,5.179222459800268e-05,0.897572716268639,0.0069844101753894815,0.8888515059917116,0.8954122037535062,0.908759982302699,0.9017777540064105,0.8930621352888677,0.10063299385935853,0.007781442159276912,4.946149015426636,0.03357762812839459
11,11,0.07,500,0.8,0.8,7,0.0,0.5,5,0.9973505538042711,9.46079920424543e-05,0.8975542614222662,0.007004619640860511,0.8887122796022072,0.8955908892314074,0.9087269209598243,0.9017519458339659,0.892989271483927,0.09979629238200483,0.007804118304514511,3.8448909282684327,0.03324540311080865
12,11,0.05,400,0.8,0.8,5,0.0,0.5,10,0.9928075994817208,0.00022664080559951747,0.897474827102792,0.008825157726633394,0.8879767018473566,0.8969404284505869,0.9128174259428986,0.899790870613053,0.8898487086600648,0.09533277237892879,0.009833320623735564,4.413640928268433,0.23070949500679414
13,11,0.07,400,0.8,0.8,7,0.0,0.5,5,0.996380234001457,0.00013332642172575224,0.8974701458464386,0.007044992703389318,0.8886902137815982,0.8954924944205994,0.9086632217783664,0.9018230408870387,0.8926817583645901,0.09891008815501845,0.007849835157184994,3.2371857166290283,0.02346944771128044
14,11,0.03,700,0.8,0.8,5,0.0,0.1,10,0.9957617000164765,0.00012172242911848154,0.897334757863194,0.008508818711121807,0.8872159994931336,0.894987132580116,0.912483830165147,0.8992342902002187,0.8927525368773548,0.0984269421532824,0.009482323777788005,6.750317764282227,0.091233960853382
15,11,0.05,500,0.8,0.8,7,0.0,0.5,10,0.9940243171046111,0.00019214677760937286,0.8972921959969696,0.00837204706756818,0.8873903104149994,0.8945024007451651,0.91195673320012,0.9000226773062555,0.8925888583183077,0.09673212110764151,0.009330346463412744,5.515625524520874,0.8222361187467341
16,11,0.05,700,0.8,0.8,9,0.0,0.5,10,0.9959025610140675,0.0001282259372061735,0.8972429162469353,0.0075679077462532515,0.8890491068777867,0.8937280322738339,0.9103195866543186,0.9007385345970784,0.8923793208316589,0.09865964476713218,0.008434625238289922,5.1132337093353275,0.05886983275111257
17,11,0.07,700,0.8,0.8,5,0.0,0.1,10,0.9996478076132469,1.1614433585031932e-05,0.8972042714856971,0.006692143636482321,0.891314304422796,0.8940166604997467,0.9091421555644769,0.8998032377843016,0.8917449991571649,0.10244353612754975,0.007458885171601643,8.013942432403564,0.4127557665994092
18,11,0.07,700,0.8,0.8,7,0.0,0.1,10,0.99947916034979,2.7176979834969186e-05,0.897128660668794,0.006545379597348383,0.8911160111580774,0.8933525458158127,0.9088678757703053,0.8996238583724697,0.8926830122273046,0.10235049968099597,0.007295920735013543,6.164946794509888,0.10297198294543304
19,11,0.03,700,0.8,0.8,5,0.0,0.5,5,0.9955430286854281,0.00011989004395880889,0.8971171566707609,0.007303021009233338,0.888062889037378,0.8963953104661788,0.9097515935496004,0.8988861004048565,0.8924898898957905,0.09842587201466724,0.008140543244468931,6.2047043800354,0.039981376040304106
20,11,0.05,700,0.8,0.8,7,0.0,0.1,10,0.998465463030789,5.5165549922696327e-05,0.8971089547298812,0.008057378403221774,0.8891261872213214,0.8956029090634079,0.9104970135326775,0.9011498162986836,0.889168847533316,0.10135650830090781,0.008981493675590212,6.194158601760864,0.10031738188741042
21,11,0.07,500,0.8,0.8,7,0.0,0.1,10,0.9984399869790266,9.298534265003529e-05,0.8970928675123153,0.006652451359452346,0.8908396713461735,0.8932833545537198,0.9090955758294134,0.899417855685226,0.8928278801470434,0.10134711946671127,0.0074155659914005734,4.338471126556397,0.08134194369126146
22,11,0.07,500,0.8,0.8,5,0.0,0.1,10,0.9989497625319309,3.2697916963218066e-05,0.8970814684894381,0.00679056815739206,0.8910079436411396,0.8938937821048073,0.9092044945969895,0.8996784188412378,0.8916227032630165,0.10186829404249276,0.007569622599412786,6.241954755783081,0.6075833568963201
23,11,0.07,400,0.8,0.8,5,0.0,0.1,10,0.9979080253670402,5.012807448048511e-05,0.8970372337402205,0.006926401094250618,0.8907265635228284,0.8936761797165286,0.9094810555836367,0.8995282297685747,0.8917741401095345,0.10087079162681967,0.007721419840479537,5.675983142852783,0.17100947320849685
24,11,0.07,400,0.8,0.8,7,0.0,0.1,10,0.9969908269254182,0.00014565920916531825,0.8969937475903768,0.00683446532806565,0.8905483672735589,0.8929431395904102,0.9093459450478678,0.899329053106802,0.8928022329332455,0.09999707933504143,0.007619300966617989,3.460018491744995,0.07913956430156946
25,11,0.05,500,0.8,0.8,7,0.0,0.1,10,0.9961280423569363,9.168516449381598e-05,0.8969585418916722,0.008252915338603117,0.8887681535621871,0.895071626330356,0.910751988217479,0.9011314792036739,0.889069462144665,0.09916950046526407,0.009200999771068395,4.244259262084961,0.021407990669660745
26,11,0.05,400,0.8,0.8,7,0.0,0.5,10,0.9914463397539001,0.00031676925959029544,0.8969025926046074,0.008529042420068028,0.8870025599224858,0.8938638781050647,0.9119538706158875,0.8995682908565963,0.8921243635230028,0.0945437471492927,0.009509441148229561,3.2626967906951903,0.04799037010549832
